lake,date,alta_presencia,n
Amatitlan,2025-01-28,0,36477
Amatitlan,2025-01-28,1,22
Amatitlan,2025-04-15,0,35895
Amatitlan,2025-04-15,1,251
Amatitlan,2025-04-28,0,33402
Amatitlan,2025-04-28,1,2688
Amatitlan,2025-11-24,0,35633
Amatitlan,2025-11-24,1,733
Amatitlan,2026-01-08,0,34066
Amatitlan,2026-01-08,1,2561
Amatitlan,2026-02-02,0,36090
Amatitlan,2026-02-02,1,5
Amatitlan,2026-02-07,0,36504
Amatitlan,2026-02-07,1,18
Amatitlan,2026-03-29,0,33726
Amatitlan,2026-03-29,1,2837
Amatitlan,2026-04-13,0,34956
Amatitlan,2026-04-13,1,1797
Amatitlan,2026-04-28,0,22329
Amatitlan,2026-04-28,1,12477
Amatitlan,2026-06-19,0,17003
Amatitlan,2026-06-19,1,19601
Atitlan,2025-01-18,0,192317
Atitlan,2025-01-18,1,152
Atitlan,2025-04-13,0,303276
Atitlan,2025-04-13,1,7
Atitlan,2025-05-13,0,269483
Atitlan,2025-05-13,1,15
Atitlan,2025-07-17,0,238043
Atitlan,2025-07-17,1,234
Atitlan,2025-11-21,0,177959
Atitlan,2025-11-21,1,228
Atitlan,2025-12-29,0,212336
Atitlan,2025-12-29,1,146
Atitlan,2026-02-12,0,260747
Atitlan,2026-02-12,1,91
Atitlan,2026-03-24,0,291053
Atitlan,2026-03-24,1,10
Atitlan,2026-04-13,0,296420
Atitlan,2026-04-13,1,22
Atitlan,2026-04-28,0,299417
Atitlan,2026-04-28,1,5
Atitlan,2026-07-22,0,248871
Atitlan,2026-07-22,1,428
