,count,unique,top,freq,mean,std,min,25%,50%,75%,max
B02,3190331.0,,,,0.08016463414723093,0.007962259025904894,0.05490000173449516,0.07410000264644623,0.07890000194311142,0.0843999981880188,0.4677000045776367
B03,3190331.0,,,,0.05441979205333218,0.012295876420342263,0.03269999846816063,0.04749999940395355,0.05130000039935112,0.056299999356269836,0.43160000443458557
B04,3190331.0,,,,0.030866042853424532,0.009599352596607437,0.0044999998062849045,0.02449999935925007,0.028599999845027924,0.03359999880194664,0.4415000081062317
B05,3190331.0,,,,0.029265659861713544,0.015321280281333716,0.013399999588727951,0.020999999716877937,0.024800000712275505,0.03099999949336052,0.43849998712539673
B07,3190331.0,,,,0.026036106963250854,0.01380634656074857,0.008700000122189522,0.018300000578165054,0.02239999920129776,0.028599999845027924,0.5673999786376953
B08,3190331.0,,,,0.022209032147798544,0.012108191641727245,0.0038999998942017555,0.015300000086426735,0.019099999219179153,0.024900000542402267,0.5396000146865845
B8A,3190331.0,,,,0.021791128293439644,0.011869619313400028,0.00419999985024333,0.014700000174343586,0.01860000006854534,0.02500000037252903,0.5411999821662903
B11,3190331.0,,,,0.010109175337260402,0.007731700406484821,0.0,0.0044999998062849045,0.007699999958276749,0.013500000350177288,0.22100000083446503
B12,3190331.0,,,,0.007270700830073538,0.006170046066807185,0.0,0.003000000026077032,0.005100000184029341,0.010099999606609344,0.14669999480247498
ndvi,3190331.0,,,,-0.18781891012821983,0.08065724004641048,-0.7214484810829163,-0.24433249235153198,-0.19592875242233276,-0.1484794318675995,0.8143913745880127
ndwi,3190331.0,,,,0.44452965085245266,0.09869964993915435,-0.6685219407081604,0.3855878710746765,0.4606141448020935,0.5153473615646362,0.8350515365600586
ndci,3190331.0,,,,-0.049076045510854024,0.06836496003156622,-0.09452736377716064,-0.08203125,-0.07070706784725189,-0.052760735154151917,0.6075581312179565
chl,3190331.0,,,,2.0911999714031984,2.5782687366158554,0.0003478573926258832,0.8689210414886475,1.5533137321472168,2.4560203552246094,135.8611297607422
fai,3190331.0,,,,0.0005242636915210171,0.004472233270628129,-0.03526899963617325,-0.000910000002477318,-0.0003490000090096146,0.00042299999040551484,0.22537800669670105
agua,3190331.0,,,,1.0,0.0,1.0,1.0,1.0,1.0,1.0
clp,3190331.0,,,,2.2585017040551594,5.433788995760097,0.0,0.0,1.0,3.0,102.0
datamask,3190331.0,,,,1.0,0.0,1.0,1.0,1.0,1.0,1.0
row,3190331.0,,,,301.3371719110023,143.23464156252402,3.0,194.0,294.0,391.0,873.0
col,3190331.0,,,,664.9741340318607,244.71448554748707,15.0,472.0,644.0,879.0,1364.0
x_utm,3190331.0,,,,702910.7852925811,22877.692764602773,680606.9156357745,691027.8806806527,695488.2937420881,700088.7197695776,768062.0056207931
y_utm,3190331.0,,,,1622149.6225831944,8964.427233151338,1594647.6728950236,1622483.4397023271,1625023.395912054,1627203.3583282765,1631563.2831607214
lake,3190331,2,Atitlan,2791260,,,,,,,
date,3190331,20,2026-04-28,334228,,,,,,,
lon,3190331.0,,,,-91.11587197372755,0.21152016564733872,-91.32308471939291,-91.2258866933546,-91.18438312945766,-91.14184364844469,-90.51302378518415
lat,3190331.0,,,,14.665190536541429,0.08280317693545848,14.412397400378179,14.668846282745369,14.691847294835023,14.711651531395546,14.750754287152697
alta_presencia,3190331.0,,,,0.013894483048937555,0.11705311052857184,0.0,0.0,0.0,0.0,1.0
spatial_block,3190331,283,Amatitlan_1000m_764_1597,27500,,,,,,,
observation_id,3190331,3190331,48627af09e5a48dd,1,,,,,,,
doy_sin,3190331.0,,,,0.4804519587213619,0.5551644635211778,-0.6383844591746642,-0.03869579017652689,0.753697664392914,0.9798567700958665,0.998376906467142
doy_cos,3190331.0,,,,-0.015798984144356615,0.6787554544301785,-0.976508846196619,-0.44313223418263453,-0.1997015525660636,0.7386679638813748,0.9992510374388481
rainy_season,3190331.0,,,,0.24877606743626288,0.43230382173452025,0.0,0.0,0.0,0.0,1.0
