lake,date,filter,before,after,removed
Atitlan,2025-01-18,inside_aoi,1194375,1179533,14842
Atitlan,2025-01-18,datamask,1179533,1179533,0
Atitlan,2025-01-18,water,1179533,308960,870573
Atitlan,2025-01-18,cloud,308960,308960,0
Atitlan,2025-01-18,finite,308960,308960,0
Atitlan,2025-01-18,physical_range,308960,192469,116491
Atitlan,2025-01-18,duplicates,192469,192469,0
Atitlan,2025-04-13,inside_aoi,1194375,1179533,14842
Atitlan,2025-04-13,datamask,1179533,1179533,0
Atitlan,2025-04-13,water,1179533,305329,874204
Atitlan,2025-04-13,cloud,305329,305267,62
Atitlan,2025-04-13,finite,305267,305267,0
Atitlan,2025-04-13,physical_range,305267,303283,1984
Atitlan,2025-04-13,duplicates,303283,303283,0
Atitlan,2025-05-13,inside_aoi,1194375,1179533,14842
Atitlan,2025-05-13,datamask,1179533,1179533,0
Atitlan,2025-05-13,water,1179533,305290,874243
Atitlan,2025-05-13,cloud,305290,305276,14
Atitlan,2025-05-13,finite,305276,305276,0
Atitlan,2025-05-13,physical_range,305276,269498,35778
Atitlan,2025-05-13,duplicates,269498,269498,0
Atitlan,2025-07-17,inside_aoi,1194375,1179533,14842
Atitlan,2025-07-17,datamask,1179533,1179533,0
Atitlan,2025-07-17,water,1179533,291659,887874
Atitlan,2025-07-17,cloud,291659,291259,400
Atitlan,2025-07-17,finite,291259,291259,0
Atitlan,2025-07-17,physical_range,291259,238277,52982
Atitlan,2025-07-17,duplicates,238277,238277,0
Atitlan,2025-11-21,inside_aoi,1194375,1179533,14842
Atitlan,2025-11-21,datamask,1179533,1179533,0
Atitlan,2025-11-21,water,1179533,306454,873079
Atitlan,2025-11-21,cloud,306454,306414,40
Atitlan,2025-11-21,finite,306414,306414,0
Atitlan,2025-11-21,physical_range,306414,178187,128227
Atitlan,2025-11-21,duplicates,178187,178187,0
Atitlan,2025-12-29,inside_aoi,1194375,1179533,14842
Atitlan,2025-12-29,datamask,1179533,1179533,0
Atitlan,2025-12-29,water,1179533,309304,870229
Atitlan,2025-12-29,cloud,309304,308243,1061
Atitlan,2025-12-29,finite,308243,308243,0
Atitlan,2025-12-29,physical_range,308243,212482,95761
Atitlan,2025-12-29,duplicates,212482,212482,0
Atitlan,2026-02-12,inside_aoi,1194375,1179533,14842
Atitlan,2026-02-12,datamask,1179533,1179533,0
Atitlan,2026-02-12,water,1179533,306139,873394
Atitlan,2026-02-12,cloud,306139,306139,0
Atitlan,2026-02-12,finite,306139,306139,0
Atitlan,2026-02-12,physical_range,306139,260838,45301
Atitlan,2026-02-12,duplicates,260838,260838,0
Atitlan,2026-03-24,inside_aoi,1194375,1179533,14842
Atitlan,2026-03-24,datamask,1179533,1179533,0
Atitlan,2026-03-24,water,1179533,305436,874097
Atitlan,2026-03-24,cloud,305436,305384,52
Atitlan,2026-03-24,finite,305384,305384,0
Atitlan,2026-03-24,physical_range,305384,291063,14321
Atitlan,2026-03-24,duplicates,291063,291063,0
Atitlan,2026-04-13,inside_aoi,1194375,1179533,14842
Atitlan,2026-04-13,datamask,1179533,1179533,0
Atitlan,2026-04-13,water,1179533,304666,874867
Atitlan,2026-04-13,cloud,304666,304666,0
Atitlan,2026-04-13,finite,304666,304666,0
Atitlan,2026-04-13,physical_range,304666,296442,8224
Atitlan,2026-04-13,duplicates,296442,296442,0
Atitlan,2026-04-28,inside_aoi,1194375,1179533,14842
Atitlan,2026-04-28,datamask,1179533,1179533,0
Atitlan,2026-04-28,water,1179533,304628,874905
Atitlan,2026-04-28,cloud,304628,304503,125
Atitlan,2026-04-28,finite,304503,304503,0
Atitlan,2026-04-28,physical_range,304503,299422,5081
Atitlan,2026-04-28,duplicates,299422,299422,0
Atitlan,2026-07-22,inside_aoi,1194375,1179533,14842
Atitlan,2026-07-22,datamask,1179533,1179533,0
Atitlan,2026-07-22,water,1179533,304109,875424
Atitlan,2026-07-22,cloud,304109,304109,0
Atitlan,2026-07-22,finite,304109,304109,0
Atitlan,2026-07-22,physical_range,304109,249299,54810
Atitlan,2026-07-22,duplicates,249299,249299,0
Amatitlan,2025-01-28,inside_aoi,306860,302114,4746
Amatitlan,2025-01-28,datamask,302114,302114,0
Amatitlan,2025-01-28,water,302114,36522,265592
Amatitlan,2025-01-28,cloud,36522,36520,2
Amatitlan,2025-01-28,finite,36520,36520,0
Amatitlan,2025-01-28,physical_range,36520,36499,21
Amatitlan,2025-01-28,duplicates,36499,36499,0
Amatitlan,2025-04-15,inside_aoi,306860,302114,4746
Amatitlan,2025-04-15,datamask,302114,302114,0
Amatitlan,2025-04-15,water,302114,36164,265950
Amatitlan,2025-04-15,cloud,36164,36164,0
Amatitlan,2025-04-15,finite,36164,36164,0
Amatitlan,2025-04-15,physical_range,36164,36146,18
Amatitlan,2025-04-15,duplicates,36146,36146,0
Amatitlan,2025-04-28,inside_aoi,306860,302114,4746
Amatitlan,2025-04-28,datamask,302114,302114,0
Amatitlan,2025-04-28,water,302114,36159,265955
Amatitlan,2025-04-28,cloud,36159,36102,57
Amatitlan,2025-04-28,finite,36102,36102,0
Amatitlan,2025-04-28,physical_range,36102,36090,12
Amatitlan,2025-04-28,duplicates,36090,36090,0
Amatitlan,2025-11-24,inside_aoi,306860,302114,4746
Amatitlan,2025-11-24,datamask,302114,302114,0
Amatitlan,2025-11-24,water,302114,36415,265699
Amatitlan,2025-11-24,cloud,36415,36394,21
Amatitlan,2025-11-24,finite,36394,36394,0
Amatitlan,2025-11-24,physical_range,36394,36366,28
Amatitlan,2025-11-24,duplicates,36366,36366,0
Amatitlan,2026-01-08,inside_aoi,306860,302114,4746
Amatitlan,2026-01-08,datamask,302114,302114,0
Amatitlan,2026-01-08,water,302114,36644,265470
Amatitlan,2026-01-08,cloud,36644,36643,1
Amatitlan,2026-01-08,finite,36643,36643,0
Amatitlan,2026-01-08,physical_range,36643,36627,16
Amatitlan,2026-01-08,duplicates,36627,36627,0
Amatitlan,2026-02-02,inside_aoi,306860,302114,4746
Amatitlan,2026-02-02,datamask,302114,302114,0
Amatitlan,2026-02-02,water,302114,36112,266002
Amatitlan,2026-02-02,cloud,36112,36111,1
Amatitlan,2026-02-02,finite,36111,36111,0
