feature,importance_mean,importance_std
B07,0.7741198627117032,0.012673755803079868
B03,0.06942814204374362,0.009249035942179441
ndwi,0.04138080161038166,0.002955020716218271
B08,0.039719619875944266,0.006450621692324547
B02,0.038529584458812216,0.0029351519193526786
B12,0.028245334894187422,0.0025606770894799785
B11,0.01946067541422688,0.0019345300509453617
doy_cos,0.01497094321319109,0.0014113901474546724
doy_sin,0.010409863789605633,0.0019524976830061352
B8A,0.009174803535181141,0.0026663838479490895
rainy_season,0.004264205726577974,0.0009057558968028109
