lake,spatial_block,0,1
Amatitlan,Amatitlan_1000m_755_1594,1,0
Amatitlan,Amatitlan_1000m_757_1601,126,19
Amatitlan,Amatitlan_1000m_757_1602,4911,833
Amatitlan,Amatitlan_1000m_757_1603,3682,900
Amatitlan,Amatitlan_1000m_758_1601,8258,786
Amatitlan,Amatitlan_1000m_758_1602,20370,3765
Amatitlan,Amatitlan_1000m_758_1603,1218,285
Amatitlan,Amatitlan_1000m_759_1594,2762,0
Amatitlan,Amatitlan_1000m_759_1595,9,0
Amatitlan,Amatitlan_1000m_759_1600,135,38
Amatitlan,Amatitlan_1000m_759_1601,8059,2010
Amatitlan,Amatitlan_1000m_759_1602,14481,3335
Amatitlan,Amatitlan_1000m_760_1594,166,0
Amatitlan,Amatitlan_1000m_760_1595,4,0
Amatitlan,Amatitlan_1000m_760_1600,14318,2583
Amatitlan,Amatitlan_1000m_760_1601,22419,4712
Amatitlan,Amatitlan_1000m_760_1602,10142,2214
Amatitlan,Amatitlan_1000m_760_1603,7,0
Amatitlan,Amatitlan_1000m_761_1599,6120,329
Amatitlan,Amatitlan_1000m_761_1600,18514,2891
Amatitlan,Amatitlan_1000m_761_1601,12542,2565
Amatitlan,Amatitlan_1000m_761_1602,11540,2044
Amatitlan,Amatitlan_1000m_761_1603,1408,299
Amatitlan,Amatitlan_1000m_762_1598,7398,195
Amatitlan,Amatitlan_1000m_762_1599,11046,487
Amatitlan,Amatitlan_1000m_762_1600,5775,1001
Amatitlan,Amatitlan_1000m_762_1601,552,240
Amatitlan,Amatitlan_1000m_762_1602,800,149
Amatitlan,Amatitlan_1000m_762_1603,1,1
Amatitlan,Amatitlan_1000m_763_1596,4186,348
Amatitlan,Amatitlan_1000m_763_1597,18002,823
Amatitlan,Amatitlan_1000m_763_1598,23481,581
Amatitlan,Amatitlan_1000m_763_1599,1883,63
Amatitlan,Amatitlan_1000m_764_1594,1,0
Amatitlan,Amatitlan_1000m_764_1595,1385,106
Amatitlan,Amatitlan_1000m_764_1596,22347,2962
Amatitlan,Amatitlan_1000m_764_1597,26911,589
Amatitlan,Amatitlan_1000m_764_1598,12927,702
Amatitlan,Amatitlan_1000m_764_1601,145,77
Amatitlan,Amatitlan_1000m_765_1595,4020,388
Amatitlan,Amatitlan_1000m_765_1596,16695,2623
Amatitlan,Amatitlan_1000m_765_1597,17982,843
Amatitlan,Amatitlan_1000m_765_1598,15941,945
Amatitlan,Amatitlan_1000m_765_1600,17,0
Amatitlan,Amatitlan_1000m_765_1601,2,0
Amatitlan,Amatitlan_1000m_765_1602,2,0
Amatitlan,Amatitlan_1000m_766_1595,2,0
Amatitlan,Amatitlan_1000m_766_1597,4,0
Amatitlan,Amatitlan_1000m_766_1598,3366,259
Amatitlan,Amatitlan_1000m_767_1597,1,0
Amatitlan,Amatitlan_1000m_767_1598,3,0
Amatitlan,Amatitlan_1000m_767_1603,9,0
Amatitlan,Amatitlan_1000m_768_1603,5,0
Atitlan,Atitlan_1000m_680_1617,102,0
Atitlan,Atitlan_1000m_680_1618,4,0
Atitlan,Atitlan_1000m_681_1617,381,0
Atitlan,Atitlan_1000m_681_1618,348,0
Atitlan,Atitlan_1000m_681_1630,6,0
Atitlan,Atitlan_1000m_682_1615,3,0
Atitlan,Atitlan_1000m_682_1617,10,0
Atitlan,Atitlan_1000m_682_1618,412,0
Atitlan,Atitlan_1000m_682_1619,38,0
Atitlan,Atitlan_1000m_682_1631,2,0
Atitlan,Atitlan_1000m_683_1614,9,0
Atitlan,Atitlan_1000m_683_1618,37,0
Atitlan,Atitlan_1000m_683_1622,88,0
Atitlan,Atitlan_1000m_683_1630,3,0
Atitlan,Atitlan_1000m_684_1614,36,0
Atitlan,Atitlan_1000m_684_1615,11,0
Atitlan,Atitlan_1000m_684_1616,16,0
Atitlan,Atitlan_1000m_684_1625,3143,4
Atitlan,Atitlan_1000m_684_1626,10039,0
Atitlan,Atitlan_1000m_684_1627,390,0
Atitlan,Atitlan_1000m_685_1614,1,0
Atitlan,Atitlan_1000m_685_1615,1,0
Atitlan,Atitlan_1000m_685_1616,4,0
Atitlan,Atitlan_1000m_685_1624,6,0
Atitlan,Atitlan_1000m_685_1625,14927,4
Atitlan,Atitlan_1000m_685_1626,24601,2
Atitlan,Atitlan_1000m_685_1627,6683,8
Atitlan,Atitlan_1000m_686_1621,3,0
Atitlan,Atitlan_1000m_686_1622,13,0
Atitlan,Atitlan_1000m_686_1624,1315,0
Atitlan,Atitlan_1000m_686_1625,16138,2
Atitlan,Atitlan_1000m_686_1626,22236,0
Atitlan,Atitlan_1000m_686_1627,20188,0
Atitlan,Atitlan_1000m_686_1628,4312,0
Atitlan,Atitlan_1000m_687_1617,78,6
Atitlan,Atitlan_1000m_687_1622,57,0
Atitlan,Atitlan_1000m_687_1623,1350,0
Atitlan,Atitlan_1000m_687_1624,17045,0
Atitlan,Atitlan_1000m_687_1625,20239,0
Atitlan,Atitlan_1000m_687_1626,22283,0
Atitlan,Atitlan_1000m_687_1627,24067,15
Atitlan,Atitlan_1000m_687_1628,7558,3
Atitlan,Atitlan_1000m_688_1614,39,0
Atitlan,Atitlan_1000m_688_1615,2,0
Atitlan,Atitlan_1000m_688_1616,13542,343
Atitlan,Atitlan_1000m_688_1617,23891,83
Atitlan,Atitlan_1000m_688_1618,9155,2
